"anho","semana","idprovincia","Incendios","Observed","Predicted","Dicot1","Dicot2","Dicot3","Dicot4"
"2015","32","42",0,0,0,0,0,0,0
"2015","32","43",1,1.94,0.433287397776427,0,0,0,0
"2015","32","44",0,0,0,0,0,0,0
"2015","32","45",5,10.9,55.8439554017491,0,0,0,0
"2015","32","46",0,0,0,0,0,0,0
"2015","32","47",1,0.39,7.46729450430185,0,0,0,0
"2015","32","49",5,13.028,244.708597302586,0,0,0,0
"2015","32","50",0,0,0,0,0,0,0
"2015","33","2",1,0.8,2.70708452581641,0,0,0,0
"2015","33","3",0,0,0,0,0,0,0
"2015","33","4",1,0.85,7.10723773451586,0,0,0,0
"2015","33","5",5,28.966,80.4207359349478,0,0,0,0
"2015","33","6",21,4.7852380952381,275.199223006064,1,1,1,1
"2015","33","8",0,0,0,0,0,0,0
"2015","33","9",1,1.52,7.60292164265119,0,0,0,0
"2015","33","10",15,58.194,137.729464037304,0,1,1,1
"2015","33","11",5,27.942,18.3272419486514,0,0,0,0
"2015","33","12",1,2,1.43703725989599,0,0,0,0
"2015","33","13",3,1.20666666666667,99.6606020739715,0,0,0,0
"2015","33","14",6,1.885,45.7645553901695,0,0,0,0
"2015","33","15",14,17.0928571428571,7.54351088305883,0,0,0,0
"2015","33","16",0,0,0,0,0,0,0
"2015","33","17",0,0,0,0,0,0,0
"2015","33","18",3,2.24666666666667,8.70268856410791,0,0,0,0
"2015","33","19",0,0,0,0,0,0,0
"2015","33","21",6,1.54666666666667,17.4186770697497,0,0,0,0
"2015","33","22",2,0.555,15.7504294626437,0,0,0,0
"2015","33","23",8,2.07875,36.1877043919296,0,0,0,0
"2015","33","24",7,8.36571428571429,343.364467858827,0,0,0,0
"2015","33","25",0,0,0,0,0,0,0
"2015","33","26",2,1.55,5.72340065691615,0,0,0,0
"2015","33","27",18,1.49,14.8051400726941,0,0,0,0
"2015","33","29",4,2.6075,26.0009052473633,0,0,0,0
"2015","33","30",2,1.62,26.6308931941385,0,0,0,0
"2015","33","32",38,13.7326315789474,83.8120563087996,0,0,0,1
"2015","33","33",12,4.29166666666667,13.3480998818179,0,0,0,0
"2015","33","34",3,4.30666666666667,22.4869732250993,0,0,0,0
"2015","33","36",17,1.58764705882353,4.21324384931305,0,0,0,0
"2015","33","37",6,2.86666666666667,48.8713538322139,0,0,0,0
"2015","33","40",1,2.4,7.15944686925034,0,0,0,0
"2015","33","41",7,13.4242857142857,46.5936051241345,0,0,0,0
"2015","33","42",0,0,0,0,0,0,0
"2015","33","43",0,0,0,0,0,0,0
"2015","33","44",2,1.14,6.20578519086405,0,0,0,0
"2015","33","45",6,3.03833333333333,27.2970246358857,0,0,0,0
"2015","33","46",2,3.19,3.84339688221529,0,0,0,0
"2015","33","47",0,0,0,0,0,0,0
"2015","33","49",6,12.0433333333333,69.3352407120195,0,0,0,0
"2015","33","50",0,0,0,0,0,0,0
"2015","34","2",2,1.8,4.03443265857414,0,0,0,0
"2015","34","3",3,0.55,6.42661421269107,0,0,0,0
"2015","34","4",1,0.14,19.2168747111795,0,0,0,0
"2015","34","5",3,1.75333333333333,4.77957043424516,0,0,0,0
"2015","34","6",12,5.195,87.3004934167688,0,1,1,1
"2015","34","8",0,0,0,0,0,0,0
"2015","34","9",3,3.89,25.9713497517094,0,0,0,0
