"anho","semana","id_provincia","provincia","personal_tecnicos","personal_brigadas","personal_fuerzas_orden","personal_otros","medios_autobomba","medios_bulldozer","medios_tractores","medios_otros","aereos_aviones_anfibios","aereos_aviones_carga","aereos_helicopteros_exticion","aereos_helicopteros_transporte","total","totalar","totalnar","supernf","num_incendios","dist_1_nearest_buildup","dist_10_nearest_buildup","dir","prec","sol","tmax","tmed","tmin","velmedia","hrmedia","domain"
2007,28,13,"CIUDAD REAL",6.18,9.55,0.9,0,1.77,0.42,0,1.22,0,0,0,0.38,145.15,5,94.15,46,13,1244.14,2648.79,17.58,0,12.84,33.59,25.9,18.22,2.63,40.5,"28:13"
2007,28,14,"CORDOBA",2.69,10.86,1.36,0.5,1.25,0,0.17,0,0,0.69,0,0.31,16.76,0,16.76,0,10,1930.18,3282.34,24.26,0,12.77,35.45,27.4,19.36,2.95,27,"28:14"
2007,28,15,"A CORUÑA",1.75,13,3.5,0.75,2.33,0,0,0,0,0,0,0,6.49,1.62,4.87,0,5,464.65,1137.38,19.53,12.28,7.06,22.48,18.34,14.19,3.43,76,"28:15"
2007,28,16,"CUENCA",3.67,13.33,1.33,1.33,2,0,0.67,1.67,0,0.33,0,0,38,0.96,2.5,34.54,3,2507.13,5941.73,15,0,12.53,29.95,21.98,14.04,0.26,52.5,"28:16"
2007,28,17,"GIRONA",6,16,6,4,3,0,0,0,0,0,2,0,0.15,0.15,0,0,1,173.01,1290.16,17.93,1.43,8.11,24.72,17.92,11.11,2.5,58,"28:17"
2007,28,18,"GRANADA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.19,0.04,12.05,33.44,25.82,18.18,3.15,37,"28:18"
2007,28,19,"GUADALAJARA",2.5,16,3,2,1,0,0.5,0,0,0,0,0.5,2.25,0.5,0.55,1.2,2,1655.19,4368.04,21.075,0,10.9,30.69,21.29,11.89,2.605,53.5,"28:19"
2007,28,21,"HUELVA",5.78,36.53,3.78,0.78,2.89,0,0.17,0.5,0.22,1.14,0.33,1.08,205.86,55.61,146.48,3.77,12,1503.19,2940.41,22.95,0,13.01,31.34,25.14,18.93,3.23,51,"28:21"
2007,28,22,"HUESCA",3.67,11.83,3.33,1,3,0,0.33,0.17,0,0,0,0.17,5.76,0,2.86,2.9,4,1682.81,2909.52,17.44,0,13.27,26.18,18.2,10.21,3.03,52,"28:22"
2007,28,23,"JAEN",2,21.17,3.17,5.33,0.83,0,0,1.33,0,0,0,0.33,8.62,0,7.92,0.7,4,1502.26,3007.38,22.87,0,12.68,35.09,27.68,20.38,2.02,36,"28:23"
