"anho"|"semana"|"id_provincia"|"provincia"|"personal_tecnicos"|"personal_brigadas"|"personal_fuerzas_orden"|"personal_otros"|"medios_autobomba"|"medios_bulldozer"|"medios_tractores"|"medios_otros"|"aereos_aviones_anfibios"|"aereos_aviones_carga"|"aereos_helicopteros_exticion"|"aereos_helicopteros_transporte"|"total"|"totalar"|"totalnar"|"supernf"|"num_incendios"|"dist_1_nearest_buildup"|"dist_10_nearest_buildup"
2007|4|15|"A CORUÑA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|16|"CUENCA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|17|"GIRONA"|2.0|9.5|1.0|0.0|3.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.54|0.0|0.54|0|2|920.53|1798.83
2007|4|18|"GRANADA"|1.0|7.0|2.0|2.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7|0.0|0.29|0.41|1|789.0|2425.23
2007|4|19|"GUADALAJARA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|21|"HUELVA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|22|"HUESCA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|23|"JAEN"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|24|"LEON"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|25|"LLEIDA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|26|"LA RIOJA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|27|"LUGO"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|29|"MALAGA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|30|"MURCIA"|3.0|8.5|2.0|4.0|2.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.12|0.0|1.12|0|2|2807.66|6902.73
2007|4|32|"OURENSE"|1.0|6.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|5.0|0|1|1263.65|2736.8
2007|4|33|"ASTURIAS"|1.0|6.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.5|0.0|0.5|0|1|180.71|349.32
2007|4|34|"PALENCIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|36|"PONTEVEDRA"|1.5|3.0|1.5|3.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.6|0.0|1.6|0|3|507.35|1031.9
2007|4|37|"SALAMANCA"|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.5|0.0|1.5|0|2|3402.28|6597.33
2007|4|40|"SEGOVIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|41|"SEVILLA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|42|"SORIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|43|"TARRAGONA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|44|"TERUEL"|1.0|7.0|2.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.5|0.0|0.9|0.6|1|619.14|2276.39
2007|4|45|"TOLEDO"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|46|"VALENCIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|47|"VALLADOLID"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|4|49|"ZAMORA"|0.8|0.2|0.0|0.0|0.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|45.4|0.0|45.4|0|10|3107.99|4332.39
2007|4|50|"ZARAGOZA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|2|"ALBACETE"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|3|"ALICANTE"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|4|"ALMERIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|5|"AVILA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|6|"BADAJOZ"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|8|"BARCELONA"|3.0|5.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.22|0.0|0.22|0|1|717.37|2049.43
2007|5|9|"BURGOS"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|10|"CACERES"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|11|"CADIZ"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|12|"CASTELLON"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|13|"CIUDAD REAL"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|14|"CORDOBA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|15|"A CORUÑA"|1.0|8.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.19|0.0|4.19|0|1|89.52|1293.24
2007|5|16|"CUENCA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|17|"GIRONA"|1.0|8.0|2.0|0.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0|1|3323.37|4464.87
2007|5|18|"GRANADA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|19|"GUADALAJARA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|21|"HUELVA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|22|"HUESCA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|23|"JAEN"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|24|"LEON"|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0|1|570.41|1617.4
2007|5|25|"LLEIDA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|26|"LA RIOJA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|27|"LUGO"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|29|"MALAGA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|30|"MURCIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|32|"OURENSE"|1.5|4.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.2|0.9|0.3|0|2|509.19|3095.62
2007|5|33|"ASTURIAS"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|34|"PALENCIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|36|"PONTEVEDRA"|1.0|4.0|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7|0.4|0.3|0|2|637.25|1477.26
2007|5|37|"SALAMANCA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|40|"SEGOVIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|41|"SEVILLA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|42|"SORIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|43|"TARRAGONA"|2.0|8.0|2.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.9|0.0|1.9|0|1|1237.35|3268.76
2007|5|44|"TERUEL"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|45|"TOLEDO"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|46|"VALENCIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|47|"VALLADOLID"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|49|"ZAMORA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|5|50|"ZARAGOZA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|6|2|"ALBACETE"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|6|3|"ALICANTE"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|6|4|"ALMERIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|6|5|"AVILA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
